year,overall_pick,team,player,position,games_played,point_shares
2023,192,Vegas Golden Knights,Tuomas Uronen,RW,0,0.0
2023,193,Tampa Bay Lightning,Jack Harvey,C,0,0.0
2023,194,Columbus Blue Jackets,Oiva Keskinen,C,0,0.0
2023,195,Chicago Blackhawks,Janne Peltonen,D,0,0.0
2023,196,San Jose Sharks,David Klee,C,0,0.0
2023,197,Montréal Canadiens,Luke Mittelstadt,D,0,0.0
2023,198,Florida Panthers,Stepan Zvyagin,LW,0,0.0
2023,199,Philadelphia Flyers,Matteo Mann,D,0,0.0
2023,200,Washington Capitals,Brett Hyland,C,0,0.0
2023,201,Detroit Red Wings,Emmitt Finnie,C,82,4.019313464260437
2023,202,St. Louis Blues,Nikita Susuyev,RW,0,0.0
2023,203,San Jose Sharks,Yegor Rimashevskiy,RW,0,0.0
2023,204,Ottawa Senators,Owen Beckner,C,0,0.0
2023,205,Buffalo Sabres,Norwin Panocha,D,0,0.0
2023,206,Washington Capitals,Antoine Keller,G,0,0.0
2023,207,Ottawa Senators,Vladimir Nikitin,G,0,0.0
2023,208,Calgary Flames,Axel Hurtig,D,0,0.0
2023,209,New York Islanders,Dennis Good Bogg,D,0,0.0
2023,210,Winnipeg Jets,Connor Levis,RW,0,0.0
2023,211,Tampa Bay Lightning,Ethan Hay,C,0,0.0
2023,212,Seattle Kraken,Zaccharya Wisdom,RW,0,0.0
2023,213,Minnesota Wild,James Clark,LW,0,0.0
2023,214,Boston Bruins,Casper Nassen,RW,0,0.0
2023,215,Ottawa Senators,Nicholas Vantassell,RW,0,0.0
2023,216,Edmonton Oilers,Matt Copponi,C,0,0.0
2023,217,Pittsburgh Penguins,Emil Jarventie,LW,0,0.0
2023,218,Nashville Predators,Aiden Fink,RW,0,0.0
2023,219,Colorado Avalanche,Maros Jedlicka,C,0,0.0
2023,220,Boston Bruins,Kristian Kostadinski,D,0,0.0
2023,221,Dallas Stars,Sebastian Bradshaw,LW,0,0.0
2023,222,Carolina Hurricanes,Egor Velmakin,G,0,0.0
2023,223,Pittsburgh Penguins,Kalle Kangas,D,0,0.0
2023,224,Columbus Blue Jackets,Tyler Peddle,LW,0,0.0
2024,1,San Jose Sharks,Macklin Celebrini,C,152,23.156434610188683
2024,2,Chicago Blackhawks,Artyom Levshunov,D,86,4.0367298987380895
2024,3,Anaheim Ducks,Beckett Sennecke,RW,82,5.908739186690646
2024,4,Columbus Blue Jackets,Cayden Lindstrom,C,0,0.0
2024,5,Montréal Canadiens,Ivan Demidov,RW,84,6.085769989810224
2024,6,Utah Hockey Club,Tij Iginla,C,0,0.0
2024,7,Ottawa Senators,Carter Yakemchuk,D,4,0.1445987076339158
2024,8,Seattle Kraken,Berkly Catton,C,66,1.652385491344253
2024,9,Calgary Flames,Zayne Parekh,D,38,1.4544723332591964
2024,10,New Jersey Devils,Anton Silayev,D,0,0.0
2024,11,San Jose Sharks,Sam Dickinson,D,72,2.036006363187275
2024,12,Minnesota Wild,Zeev Buium,D,76,3.260111240690845
2024,13,Philadelphia Flyers,Jett Luchanko,C,8,-0.2207323439480873
2024,14,Buffalo Sabres,Konsta Helenius,C,9,0.2104821950933452
2024,15,Detroit Red Wings,Michael Brandsegg-Nygård,RW,14,-0.136226274363383
2024,16,St. Louis Blues,Adam Jiricek,D,0,0.0
2024,17,Washington Capitals,Terik Parascak,RW,0,0.0
2024,18,Chicago Blackhawks,Sacha Boisvert,C,7,0.1145042187567534
2024,19,Vegas Golden Knights,Trevor Connelly,LW,0,0.0
2024,20,New York Islanders,Cole Eiserman,LW,0,0.0
2024,21,Montréal Canadiens,Michael Hage,C,0,0.0
2024,22,Nashville Predators,Egor Surin,C,0,0.0
2024,23,Anaheim Ducks,Stian Solberg,D,0,0.0
2024,24,Utah Hockey Club,Cole Beaudoin,C,0,0.0
2024,25,Boston Bruins,Dean Letourneau,C,0,0.0
2024,26,Los Angeles Kings,Liam Greentree,RW,0,0.0
2024,27,Chicago Blackhawks,Marek Vanacker,LW,0,0.0
2024,28,Calgary Flames,Matvei Gridin,RW,37,2.3206564057895473
2024,29,Dallas Stars,Emil Hemming,RW,0,0.0
2024,30,New York Rangers,EJ Emery,D,0,0.0
2024,31,Toronto Maple Leafs,Ben Danford,D,0,0.0
2024,32,Edmonton Oilers,Sam O'Reilly,RW,0,0.0
2024,33,San Jose Sharks,Igor Chernyshov,LW,28,2.1644794082291843
2024,34,Carolina Hurricanes,Dominik Badinka,D,0,0.0
2024,35,Anaheim Ducks,Lucas Pettersson,C,0,0.0
2024,36,Columbus Blue Jackets,Charlie Elick,D,0,0.0
2024,37,Winnipeg Jets,Alfons Freij,D,0,0.0
2024,38,Colorado Avalanche,Ilya Nabokov,G,0,0.0
2024,39,Ottawa Senators,Gabriel Eliasson,D,0,0.0
2024,40,Seattle Kraken,Julius Miettinen,C,0,0.0
2024,41,Calgary Flames,Andrew Basha,LW,0,0.0
2024,42,Buffalo Sabres,Adam Kleber,D,0,0.0
2024,43,Washington Capitals,Cole Hutson,D,14,1.0425806044916723
2024,44,Pittsburgh Penguins,Harrison Brunicke,D,9,0.2665811369046376
2024,45,Minnesota Wild,Ryder Ritchie,RW,0,0.0
2024,46,Pittsburgh Penguins,Tanner Howe,LW,0,0.0
2024,47,Detroit Red Wings,Max Plante,LW,0,0.0
2024,48,St. Louis Blues,Colin Ralph,D,0,0.0
2024,49,New Jersey Devils,Mikhail Yegorov,G,0,0.0
2024,50,Carolina Hurricanes,Nikita Artamonov,LW,0,0.0
2024,51,Philadelphia Flyers,Jack Berglund,C,0,0.0
2024,52,Washington Capitals,Leon Muggli,D,0,0.0
2024,53,San Jose Sharks,Leo Sahlin Wallenius,D,0,0.0
2024,54,New York Islanders,Jesse Pulkkinen,D,0,0.0
2024,55,Nashville Predators,Teddy Stiga,C,0,0.0
2024,56,St. Louis Blues,Lukas Fischer,D,0,0.0
2024,57,Los Angeles Kings,Carter George,G,0,0.0
2024,58,Florida Panthers,Linus Eriksson,C,0,0.0
2024,59,Philadelphia Flyers,Spencer Gill,D,0,0.0
2024,60,Columbus Blue Jackets,Evan Gardner,G,0,0.0
2024,61,New York Islanders,Kamil Bednarik,C,0,0.0
2024,62,Calgary Flames,Jacob Battaglia,RW,0,0.0
2024,63,Seattle Kraken,Nathan Villeneuve,C,0,0.0
2024,64,Edmonton Oilers,Eemil Vinni,G,0,0.0
2024,65,Utah Hockey Club,Will Skahan,D,0,0.0
2024,66,Anaheim Ducks,Maxim Massé,RW,0,0.0
2024,67,Chicago Blackhawks,John Mustard,C,0,0.0
2024,68,Anaheim Ducks,Ethan Procyszyn,C,0,0.0
2024,69,Carolina Hurricanes,Noel Fransén,D,0,0.0
2024,70,Montréal Canadiens,Aatos Koivu,C,0,0.0
2024,71,Buffalo Sabres,Brodie Ziemer,RW,0,0.0
2024,72,Chicago Blackhawks,Anthony (AJ) Spellacy,RW,0,0.0
2024,73,Seattle Kraken,Alexis Bernier,D,0,0.0
2024,74,Calgary Flames,Henry Mews,D,0,0.0
2024,75,Washington Capitals,Ilya Protas,LW,4,0.4067997655543359
2024,76,Colorado Avalanche,William Zellers,LW,0,0.0
2024,77,Nashville Predators,Viggo Gustafsson,D,0,0.0
2024,78,Montréal Canadiens,Logan Sawyer,C,0,0.0
2024,79,Anaheim Ducks,Tarin Smith,D,0,0.0
2024,80,Detroit Red Wings,Ondrej Becher,C,0,0.0
2024,81,St. Louis Blues,Ondrej Kos,LW,0,0.0
2024,82,San Jose Sharks,Carson Wetsch,RW,0,0.0
2024,83,Vegas Golden Knights,Pavel Moysevich,G,0,0.0
2024,84,Calgary Flames,Kirill Zarubin,G,0,0.0
2024,85,New Jersey Devils,Kasper Pikkarainen,RW,0,0.0
