First Name,Last Name,Position,GP,Salary,PS,draft_overall,age,position_group,predicted_value_total
Duncan,Keith,D,80,6000000,9.5,54.0,34,D,7.146351521503974
Kevin,Fiala,LW,54,925000,1.8,11.0,21,F,1.6027758855535674
Derek,Ryan,C,67,600000,2.6,300.0,31,F,3.2830675913898504
Tom,Pyatt,LW/C,82,800000,1.8,107.0,30,F,3.4841255346484017
Brendan,Gallagher,RW,64,4500000,3.0,147.0,25,F,3.051730031105856
Tyler,Motte,LW/C,33,925000,0.6,121.0,22,F,0.7112973470086168
Clayton,Keller,C/LW,3,900000,0.0,7.0,19,F,0.11887003025941026
Matt,Tennyson,D,45,675000,0.3,300.0,27,D,0.5819120560123241
Jeff,Skinner,LW/C/RW,79,6000000,8.8,7.0,25,F,8.166038441260254
Ben,Street,C,6,600000,0.1,300.0,30,F,-0.05098345488695902
Lauri,Korpikoski,LW/RW,69,1000000,1.8,19.0,31,F,1.9751619019566378
Mark,Streit,D,68,4000000,3.9,262.0,40,D,4.448183700693576
Daniel,O'Regan,C/LW,3,792500,0.1,138.0,23,F,0.12072706618577614
Calle,Jarnkrok,C,81,1700000,2.9,51.0,26,F,3.356923882683565
Brian,Strait,D,5,600000,0.2,65.0,29,D,0.2309623245767639
Cam,Fowler,D,80,4000000,8.3,12.0,26,D,6.368234692283075
Carl,Hagelin,LW,61,3667000,1.5,168.0,29,F,2.2544430841077383
Jonathan,Drouin,LW,73,832500,5.5,3.0,22,F,6.07841436759893
Oscar,Klefbom,D,82,3000000,7.6,19.0,24,D,6.484386431454063
Seth,Jones,D,75,5400000,7.8,4.0,23,D,6.234121425033167
Chris,Kreider,LW/C,75,5000000,6.8,19.0,26,F,6.494519197631853
Eric,Gelinas,D,27,1650000,0.2,54.0,26,D,-0.1934749964909041
Brett,Pesce,D,82,792500,6.5,66.0,23,D,4.0817725240146805
Sean,Malone,C,1,925000,0.0,159.0,22,F,0.002306849160059181
David,Desharnais,C,49,3500000,1.4,300.0,31,F,1.0610997212829265
Colin,Wilson,LW/C,70,4000000,3.8,7.0,28,F,3.5938588058134053
Kevin,Hayes,C/RW,76,2600000,5.3,24.0,25,F,5.6588500300710205
Martin,Hanzal,C,71,3500000,3.7,17.0,30,F,5.150803800852941
Anthony,Deangelo,D,39,925000,1.7,19.0,22,D,1.9223377958284504
Tanner,Richard,C,3,575000,-0.1,71.0,24,F,-0.02950654019447728
Bryan,Rust,RW,57,620000,3.3,80.0,25,F,3.2629372312221885
Kevan,Miller,D,58,2500000,3.1,300.0,30,D,1.9350569525509698
Mike,Hoffman,LW/C,74,3800000,8.3,130.0,28,F,7.4934777871803036
Yohann,Auvitu,D/LW,25,792500,1.3,300.0,28,F,0.15638676321254266
Chris,Didomenico,C/RW,3,575000,-0.1,164.0,28,F,-0.024728546283717727
Colton,Sissons,C,58,575000,1.4,50.0,24,F,0.7976889620082452
Ivan,Barbashev,C,30,742500,1.5,33.0,22,F,1.0855280628636783
Jamie,Benn,LW,77,5750000,7.5,129.0,28,F,8.837763285973029
Bracken,Kearns,C,2,800000,-0.1,300.0,36,F,-0.0193090248671708
Blake,Pietila,LW/C,10,675000,-0.3,129.0,24,F,-0.031075825815825506
Jake,Gardiner,D,82,4050000,8.7,17.0,27,D,5.8203709650024535
Nikita,Soshnikov,RW,56,742500,0.5,300.0,24,F,0.6279494877807001
Evan,McEneny,D,1,575000,-0.1,300.0,23,D,-0.029349729758854443
Tommy,Wingels,C/RW/LW,73,2600000,0.4,177.0,29,F,1.5590046046298158
Joe,Morrow,D,17,800000,0.1,23.0,25,D,0.07900318573859151
Slater,Koekkoek,D,29,832500,0.5,10.0,23,D,0.26196902710850095
Jesse,Puljujarvi,RW,28,925000,0.7,4.0,19,F,0.46799892880256877
Jori,Lehtera,C,64,4400000,1.4,65.0,30,F,2.1959431341749833
Connor,Murphy,D,77,2400000,2.5,20.0,24,D,2.957577956220983
Matt,Moulson,LW,81,5000000,3.5,263.0,34,F,3.678253784355667
Ryan,Ellis,D,71,2500000,8.7,11.0,26,D,6.439688947838446
Chris,Terry,LW/RW,14,600000,0.4,132.0,28,F,0.2782728858244201
Josh,Jooris,RW/C,54,600000,0.6,300.0,27,F,0.855247882404393
Vernon,Fiddler,C/LW,59,1250000,-0.9,300.0,37,F,0.08409746150750905
Jason,Dickinson,C,10,925000,0.1,29.0,22,F,0.11583540590786157
Antoine,Vermette,C/LW,72,1750000,2.0,55.0,35,F,3.213374232855211
Zach,Redmond,D,16,575000,1.2,184.0,29,D,0.4889630694527951
Ryan,Garbutt,C/LW,27,2000000,0.0,300.0,32,F,-0.01675248315549767
Stephen,Johns,D,61,650000,1.3,60.0,25,D,2.9239487196035014
Matt,Martin,LW/RW,82,3500000,0.2,148.0,28,F,0.6961420893933418
Trevor,Lewis,C/RW/LW,82,2000000,2.2,17.0,30,F,2.3408382488190966
Matt,Hunwick,D,72,1200000,3.6,224.0,32,D,3.127682094615188
Chris,Kunitz,LW,71,3550000,1.9,300.0,38,F,2.903176758085796
Scott,Laughton,C/LW,2,832500,0.0,20.0,23,F,-0.05441499064109212
Danton,Heinen,C,8,767500,-0.3,116.0,22,F,-0.13773695514906964
Brett,Ritchie,RW,78,875000,3.1,44.0,24,F,2.6319138477782844
Ryan,Johansen,C/RW,82,6000000,5.8,4.0,25,F,6.682671884997749
Joe,Thornton,C,79,6750000,4.3,1.0,38,F,5.497367085487331
Christian,Dvorak,C/LW,78,792500,3.6,58.0,21,F,4.009656200177022
Trevor,Daley,D,56,2700000,3.2,43.0,34,D,2.9033325360614715
Austin,Watson,LW,77,575000,1.4,18.0,25,F,2.0303722257100256
Andrew,MacDonald,D,73,4750000,3.7,160.0,31,D,4.196854632789846
Anthony,Bitetto,D,29,575000,0.9,168.0,27,D,0.667909252617467
Kevin,Porter,C,2,575000,-0.1,119.0,31,F,-0.03153410455221535
Frederik,Gauthier,C,21,832500,0.3,21.0,22,F,0.23296322586076543
Tyler,Seguin,C/RW,82,6000000,7.5,2.0,25,F,8.266726930001742
Ryan,Murray,D,60,2825000,2.4,2.0,24,D,1.9832075020318118
Luca,Sbisa,D,82,3600000,3.7,19.0,27,D,2.7020610194722963
Joel,Hanley,D,7,600000,-0.2,300.0,26,D,-0.09574872528300563
Michal,Rozsival,D,22,600000,0.4,105.0,39,D,0.43203105545514836
Johnny,Boychuk,D,66,7000000,4.8,61.0,33,D,4.386884486798724
Tyler,Gaudet,C,4,874125,0.0,300.0,24,F,0.001821518555185031
Jordan,Nolan,C/LW/RW,46,1000000,0.5,186.0,28,F,0.4869909130310046
Jack,Eichel,C,61,925000,6.6,2.0,21,F,7.009226080590153
Mark,Borowiecki,D,70,1100000,1.3,139.0,28,D,1.2405992381974833
Dylan,Strome,C,7,925000,-0.3,3.0,20,F,-0.05136835183760619
Adam,Cracknell,RW/C,69,600000,1.9,279.0,32,F,2.1775582415210297
Jake,Muzzin,D,82,4000000,5.4,141.0,28,D,5.194335668278667
Daniel,Winnik,LW/C,72,1800000,3.0,265.0,32,F,3.2774274633487797
Martin,Frk,RW,2,650000,-0.2,49.0,24,F,-0.03030261657738159
Niklas,Hjalmarsson,D,73,4100000,4.4,108.0,30,D,4.958795967507015
Cristoval,Nieves,C/LW,1,742500,-0.1,59.0,23,F,-0.009654720219387701
Zack,Kassian,RW,79,1500000,2.0,13.0,26,F,2.0532034423291017
Andrei,Markov,D,62,4250000,7.5,162.0,39,D,5.082564761931935
Bo,Horvat,C,81,832500,5.7,9.0,22,F,5.993356179960056
Paul,Carey,C,6,575000,-0.2,135.0,29,F,-0.09278053520722705
Cole,Schneider,LW/RW,4,600000,0.2,300.0,27,F,0.026552738630058137
Jaycob,Megna,D,1,925000,0.1,210.0,25,D,-0.0232773343352327
A.J.,Greer,LW,5,725000,-0.1,39.0,21,F,0.047624926225546885
Ales,Hemsky,RW,15,4000000,0.8,13.0,34,F,0.6739717634213995
Shane,Harper,RW,14,650000,0.3,300.0,28,F,0.06997900145751107
Petteri,Lindbohm,D,7,645000,-0.2,176.0,24,D,-0.05393947392670665
Dylan,McIlrath,D,6,800000,0.1,10.0,25,D,0.09641993946619024
Aleksander,Barkov,C,61,4500000,6.9,2.0,22,F,6.137810678262548
Tyler,Bozak,C,78,4500000,5.8,300.0,31,F,6.1837894647802205
Ben,Lovejoy,D,82,2500000,2.5,300.0,33,D,2.4645655256739656
Thomas,Hickey,D,76,2250000,3.2,4.0,28,D,3.1946514622371605
Cameron,Gaunce,D,12,575000,0.6,50.0,27,D,0.39640403998495144
Matt,Greene,D,26,2500000,1.2,44.0,34,D,0.2855127487372571
Christian,Fischer,RW,7,817500,0.5,32.0,20,F,0.2901125767970171
Yannick,Weber,D,73,575000,1.7,73.0,29,D,0.8472396775063099
Carter,Rowney,RW/C,27,575000,0.6,300.0,28,F,0.5209560297097915
Ron,Hainsey,D,72,2500000,3.2,13.0,36,D,3.3175624138426825
Mark,Barberio,D,60,800000,2.6,152.0,27,D,1.831376305562762
Brandon,Montour,D,27,925000,2.3,55.0,23,D,0.6919925362324658
Josh,Gorges,D,66,3900000,2.1,300.0,33,D,1.548674482423753
Trevor,Smith,C/RW,1,575000,0.0,300.0,32,F,0.008389133617386288
Dion,Phaneuf,D,81,7500000,5.9,9.0,32,D,5.6575026561763515
Harry,Zolnierczyk,LW,24,575000,0.2,300.0,30,F,0.11542286635709126
Marian,Hossa,RW,73,4000000,5.8,12.0,38,F,5.602733624583979
Jay,Bouwmeester,D,81,5600000,4.1,3.0,34,D,2.5808666639066082
Mikhail,Sergachev,D,4,925000,0.1,9.0,19,D,-0.03659428616739199
Zbynek,Michalek,D,3,3200000,0.1,300.0,35,D,0.029385154350105972
Nate,Prosser,D,39,650000,1.2,300.0,31,D,1.2115922677066757
Nick,Bonino,C,80,2100000,3.0,173.0,29,F,5.813328882090718
Dmitry,Kulikov,D,47,4500000,-0.1,14.0,27,D,1.2213050813125674
Justin,Williams,RW,80,3250000,6.2,28.0,36,F,6.045759994255707
Jay,McClement,C,65,1100000,0.0,57.0,34,F,0.7340803609393012
Cory,Conacher,C/LW,11,575000,0.3,300.0,28,F,0.23387182564855796
Dale,Weise,RW,64,2750000,1.3,111.0,29,F,1.4633837037137116
Nicolas,Deslauriers,LW,42,775000,-0.5,84.0,26,F,-0.5713260013674943
Joseph,Blandisi,LW/C,27,715000,0.4,162.0,23,F,0.7124761871052553
Joel,Armia,RW,57,875000,1.2,16.0,24,F,2.0393948937777138
Matt,Calvert,LW,65,2200000,1.1,127.0,28,F,1.7938649179282864
Nathan,Beaulieu,D,74,1000000,5.6,17.0,25,D,4.278187062357466
Peter,Holland,C,48,1300000,0.2,15.0,26,F,0.7553538660590763
Jordie,Benn,D,71,1100000,2.8,300.0,30,D,3.739917738402633
Travis,Hamonic,D,49,4875000,0.6,53.0,27,D,2.9793742376923427
Hudson,Fasching,RW,10,925000,-0.1,118.0,22,F,-0.09936831556035391
Mikael,Granlund,C,81,3200000,8.5,9.0,25,F,8.34724640486771
Ben,Hutton,D,71,925000,2.9,147.0,24,D,3.614347391803114
Thomas,Vanek,LW/RW,68,2600000,5.5,5.0,33,F,4.936042854164665
Ian,Cole,D,81,2300000,5.6,18.0,28,D,5.697443515343605
Dominic,Moore,C/LW,82,900000,2.6,95.0,37,F,2.904572283137686
Nikita,Zaitsev,D,82,925000,3.6,300.0,26,D,5.592900375364207
Kyle,Quincey,D,73,1250000,4.1,132.0,32,D,2.8682896666734403
Ben,Smith,RW/C,40,675000,-0.4,169.0,29,F,0.5716583306845042
Ben,Thomson,LW,3,635000,-0.2,96.0,24,F,-0.04644411899965138
Michael,Zalewski,LW/C,1,632500,-0.1,300.0,25,F,-0.011141411923854386
Borna,Rendulic,RW/C,1,575000,0.0,300.0,25,F,-0.02850020270790994
Steve,Oleksy,D,11,575000,0.3,300.0,31,D,0.20321371087046697
Markus,Nutivaara,D,66,792500,2.2,189.0,23,D,0.7344577486539172
Wayne,Simmonds,RW/LW,82,4300000,6.3,61.0,29,F,7.5185786355366035
John-Michael,Liles,D,36,2000000,1.3,159.0,37,D,0.6844523770829589
Derrick,Pouliot,D,11,832500,-0.3,8.0,23,D,-0.09977056081904818
Kevin,Bieksa,D,81,4000000,3.5,151.0,36,D,2.823866431817823
Patrice,Bergeron,C,79,8750000,6.6,45.0,32,F,6.511306724758017
Jason,Demers,D,81,5500000,4.9,186.0,29,D,4.381419419679406
Ryan,Reaves,RW,80,1125000,1.2,156.0,30,F,1.145814473731943
