First Name,Last Name,Position,GP,Salary,PS,position_group,predicted_value_total,replacement_level,value_above_replacement,fair_market_salary,surplus_value
Nino,Niederreiter,RW,82,3500000,7.4,F,6.453390962746992,0.1316814807474696,6.321709481999522,4465629.9450899195,965629.9450899195
Michael,Bournival,LW,19,575000,0.1,F,0.1335292213278686,0.1316814807474696,0.0018477405803989932,977997.9219350598,402997.9219350598
Evander,Kane,LW,70,6000000,5.1,F,5.488650942802914,0.1316814807474696,5.356969462055444,3933235.673625922,-2066764.3263740782
Hampus,Lindholm,D,66,3000000,5.6,D,3.426536555245971,0.6185429142735327,2.8079936409724384,2526576.7839869345,-473423.21601306554
Nikita,Nesterov,D,48,725000,3.1,D,1.6844683966047285,0.6185429142735327,1.0659254823311959,1565211.971719487,840211.9717194871
Tyler,Bertuzzi,LW,7,667500,-0.1,F,-0.1716864021474504,0.1316814807474696,-0.30336788289492,809563.8918955561,142063.89189555612
Jared,Spurgeon,D,76,4250000,8.9,D,6.371488782331707,0.6185429142735327,5.752945868058174,4151756.275894475,-98243.72410552483
Lukas,Sedlak,C/LW,62,600000,1.6,F,1.3363963259317062,0.1316814807474696,1.2047148451842367,1641803.240035878,1041803.240035878
Drake,Caggiula,LW/C,60,925000,1.6,F,1.5301905810797805,0.1316814807474696,1.398509100332311,1748749.1002163724,823749.1002163724
Steve,Ott,C/LW,53,800000,-0.1,F,0.2830331597179332,0.1316814807474696,0.1513516789704636,1060502.0564321347,260502.0564321347
Alex,Ovechkin,LW/RW,82,10000000,8.7,F,8.451256146055368,0.1316814807474696,8.319574665307899,5568157.006020185,-4431842.993979815
Cal,O'Reilly,C,11,700000,-0.3,F,-0.0834501539179271,0.1316814807474696,-0.2151316346653967,858257.2933526622,158257.29335266224
Darren,Helm,C,50,5000000,1.4,F,1.763789412683281,0.1316814807474696,1.6321079319358114,1877661.2187098041,-3122338.781290196
Nick,Cousins,C/LW,60,840000,1.1,F,1.4343604733359212,0.1316814807474696,1.3026789925884517,1695865.0077750061,855865.0077750061
Brad,Hunt,D,12,600000,0.9,D,0.4283718480160965,0.6185429142735327,-0.19017106625743618,872031.8474896967,272031.8474896967
Shayne,Gostisbehere,D,76,925000,5.2,D,5.621848469270368,0.6185429142735327,5.003305554996835,3738065.333172446,2813065.333172446
Logan,Shaw,C/RW,55,660000,0.7,F,0.4819867071411791,0.1316814807474696,0.3503052263937095,1170295.0853786448,510295.08537864476
Riley,Sheahan,C,80,2075000,-1.2,F,0.8953779091499958,0.1316814807474696,0.7636964284025263,1398426.0877971696,-676573.9122028304
Paul,Stastny,C,66,7000000,4.5,F,4.661726726063121,0.1316814807474696,4.530045245315652,3476895.409071915,-3523104.590928085
Blake,Wheeler,RW,82,5800000,8.2,F,9.042845295162916,0.1316814807474696,8.911163814415447,5894627.005744438,94627.00574443769
Zemgus,Girgensons,C/LW,75,1150000,0.8,F,1.1943588567959995,0.1316814807474696,1.06267737604853,1563419.4958791072,413419.49587910715
Dylan,Larkin,C/LW,80,925000,2.3,F,3.627326592559721,0.1316814807474696,3.495645111812251,2906059.0240417523,1981059.0240417523
Paul,Ladue,D,22,925000,1.0,D,0.7219592165938862,0.6185429142735327,0.10341630232035348,1034048.7950338286,109048.79503382859
Niklas,Kronwall,D,57,5500000,2.3,D,2.0651582997379374,0.6185429142735327,1.4466153854644048,1775296.6779018356,-3724703.3220981644
Tomas,Hertl,C/RW,49,2800000,1.9,F,2.71850020521542,0.1316814807474696,2.58681872446795,2404520.835125869,-395479.16487413086
Drew,Stafford,RW/LW,58,4350000,2.1,F,1.6765330383178376,0.1316814807474696,1.544851557570368,1829508.563175132,-2520491.436824868
Ian,McCoshen,D,3,925000,0.2,D,0.0601718455180271,0.6185429142735327,-0.5583710687555056,668839.7252282354,-256160.27477176464
Joel,Ward,RW/C,78,3275000,2.2,F,3.5943081327545583,0.1316814807474696,3.4626266520070885,2887837.701727527,-387162.2982724728
Chris,Stewart,RW/LW,79,1200000,2.3,F,1.9475627765243353,0.1316814807474696,1.8158812957768657,1979077.024143394,779077.0241433941
Derek,MacKenzie,C/LW,82,1300000,0.6,F,1.866439118990608,0.1316814807474696,1.7347576382431384,1934308.724230152,634308.7242301521
Alexey,Marchenko,D,41,1300000,2.3,D,1.4486587729758378,0.6185429142735327,0.8301158587023051,1435079.8219374348,135079.82193743484
Rene,Bourque,RW/LW,65,650000,1.2,F,1.8383637312821668,0.1316814807474696,1.7066822505346972,1918815.2490180726,1268815.2490180726
Mark,Scheifele,C,79,5000000,10.3,F,9.8639660849279,0.1316814807474696,9.732284604180432,6347764.634134946,1347764.6341349464
Blake,Coleman,C/LW,23,692500,-0.4,F,0.1122353795365673,0.1316814807474696,-0.019446101210902303,966246.860350814,273746.86035081395
Mirco,Mueller,D,4,832500,0.5,D,0.2195125351231152,0.6185429142735327,-0.3990303791504175,756772.2962869017,-75727.70371309831
Taylor,Chorney,D,18,775000,1.5,D,0.7332069348850083,0.6185429142735327,0.11466402061147563,1040255.8774202121,265255.87742021214
Victor,Hedman,D,79,4250000,12.0,D,10.093639639686632,0.6185429142735327,9.475096725413099,6205834.839045029,1955834.8390450291
Steven,Santini,D,38,925000,1.3,D,0.7094393387431013,0.6185429142735327,0.09089642446956858,1027139.668109071,102139.66810907098
Nicolas,Kerdiles,LW,1,925000,0.0,F,0.0252021374187927,0.1316814807474696,-0.1064793433286769,918217.3409232607,-6782.659076739335
Tanner,Glass,LW,11,1000000,0.1,F,0.1316960552668084,0.1316814807474696,1.457451933878362e-05,976986.2845100806,-23013.715489919414
Dan,Renouf,D,1,692500,0.0,D,0.008639593141884,0.6185429142735327,-0.6099033211316487,640401.518671524,-52098.48132847599
Colin,Miller,D,61,900000,3.3,D,1.6555585575291385,0.6185429142735327,1.037015643255606,1549258.002365461,649258.0023654611
